id	world	condition_code	condition	optimal_steps	optfract	opt_decisions	optdecisionfract	total_steps	path
kidsPractice1OL	kidsPractice1OL	OL	practice	2	1	1	1	8	p(6,1);p(7,1);p(8,1);p(9,1);p(9,2);p(9,3);p(9,4);p(9,5);
courtOL	courtOL	OL	optimal_lucky	5	1	2	1	7	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);p(2,2);
tworoomsOL	tworoomsOL	OL	optimal_lucky	4	1	NA	1	8	p(3,0);p(3,1);p(3,2);p(2,2);p(1,2);p(1,3);p(1,4);p(0,4);
gardenOL	gardenOL	OL	optimal_lucky	6	1	NA	1	8	p(0,0);p(0,1);p(0,2);p(1,2);p(2,2);p(2,3);p(2,4);p(3,4);
whichway1OL	whichway1OL	OL	optimal_lucky	7	1	NA	1	9	p(5,0);p(4,0);p(3,0);p(2,0);p(1,0);p(1,1);p(1,2);p(0,2);p(0,3);
easyrw49OL	easyrw49OL	OL	optimal_lucky	4	1	NA	1	10	p(6,0);p(5,0);p(4,0);p(3,0);p(3,1);p(3,2);p(3,3);p(2,3);p(1,3);p(0,3);
extremeOL10	extremeOL10	OL	optimal_lucky	4	1	NA	1	11	p(4,6);p(3,6);p(2,6);p(2,5);p(1,5);p(1,4);p(1,3);p(1,2);p(1,1);p(1,0);p(0,0);
libraryOL	libraryOL	OL	optimal_lucky	9	1	NA	1	11	p(6,2);p(6,3);p(6,4);p(6,3);p(5,3);p(4,3);p(3,3);p(2,3);p(1,3);p(1,4);p(0,4);
courtOUL	courtOUL	OUL	optimal_unlucky	11	1	NA	1	14	p(0,6);p(0,5);p(0,4);p(0,3);p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);p(5,2);p(5,1);p(5,0);p(4,0);p(3,0);
tworoomsOUL	tworoomsOUL	OUL	optimal_unlucky	12	1	NA	1	14	p(3,4);p(3,5);p(3,6);p(3,5);p(3,4);p(3,3);p(3,2);p(4,2);p(4,1);p(4,0);p(3,0);p(2,0);p(1,0);p(1,1);
whichway3OUL	whichway3OUL	OUL	optimal_unlucky	10	1	NA	1	15	p(6,4);p(6,3);p(6,2);p(6,1);p(5,1);p(4,1);p(4,0);p(4,1);p(4,2);p(4,3);p(4,4);p(3,4);p(2,4);p(1,4);p(0,4);
easyrw49OUL	easyrw49OUL	OUL	optimal_unlucky	13	1	NA	1	16	p(0,6);p(1,6);p(1,5);p(1,4);p(1,3);p(2,3);p(1,3);p(1,4);p(1,5);p(1,6);p(1,7);p(1,8);p(2,8);p(3,8);p(3,9);p(3,10);
libraryOUL	libraryOUL	OUL	optimal_unlucky	14	1	NA	1	17	p(1,0);p(1,1);p(2,1);p(3,1);p(4,1);p(3,1);p(3,2);p(3,3);p(3,4);p(3,5);p(3,6);p(4,6);p(3,6);p(2,6);p(1,6);p(0,6);p(0,7);
gardenOUL	gardenOUL	OUL	optimal_unlucky	13	0.9285714286	NA	1	18	p(3,2);p(2,2);p(1,2);p(2,2);p(3,2);p(4,2);p(5,2);p(4,2);p(3,2);p(3,3);p(3,4);p(3,5);p(3,6);p(2,6);p(1,6);p(1,7);p(1,8);p(0,8);
extremeOUL23	extremeOUL23	OUL	optimal_unlucky	17	1	NA	1	23	p(5,4);p(5,3);p(5,2);p(4,2);p(4,1);p(4,2);p(5,2);p(5,3);p(5,4);p(5,5);p(4,5);p(3,5);p(2,5);p(1,5);p(1,6);p(1,7);p(2,7);p(2,8);p(3,8);p(4,8);p(5,8);p(6,8);p(6,9);
courtSL	courtSL	SL	suboptimal_lucky	3	0.75	0	0	7	p(6,0);p(6,1);p(6,2);p(6,3);p(6,4);p(5,4);p(4,4);
tworoomsSL	tworoomsSL	SL	suboptimal_lucky	3	0.5	0	0	8	p(4,4);p(4,3);p(4,2);p(3,2);p(2,2);p(2,3);p(2,4);p(1,4);
gardenSL	gardenSL	SL	suboptimal_lucky	3	0.5	0	0	8	p(2,3);p(3,3);p(4,3);p(5,3);p(6,3);p(7,3);p(8,3);p(8,4);
whichway2SL	whichway2SL	SL	suboptimal_lucky	6	0.8571428571	0	0	9	p(0,1);p(0,2);p(0,3);p(1,3);p(2,3);p(2,2);p(2,1);p(2,0);p(3,0);
easyrw49SL	easyrw49SL	SL	suboptimal_lucky	4	0.6666666667	0	0	10	p(5,4);p(4,4);p(3,4);p(3,3);p(3,2);p(2,2);p(1,2);p(1,1);p(1,0);p(0,0);
extremeSL10	extremeSL10	SL	suboptimal_lucky	6	0.6666666667	0	0	11	p(4,2);p(5,2);p(5,3);p(5,4);p(5,5);p(5,6);p(6,6);p(7,6);p(7,5);p(8,5);p(8,4);
librarySL	librarySL	SL	suboptimal_lucky	8	0.8888888889	0	0	11	p(1,0);p(1,1);p(1,2);p(2,2);p(3,2);p(4,2);p(5,2);p(6,2);p(6,3);p(6,4);p(7,4);
courtSUL	courtSUL	SUL	suboptimal_unlucky	10	0.8333333333	1	0.5	14	p(5,1);p(5,0);p(4,0);p(3,0);p(2,0);p(1,0);p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);p(1,4);p(2,4);p(2,5);
tworoomsSUL	tworoomsSUL	SUL	suboptimal_unlucky	7	0.6363636364	0	0	14	p(1,3);p(2,3);p(2,4);p(2,5);p(3,5);p(4,5);p(3,5);p(2,5);p(2,4);p(2,3);p(2,2);p(2,1);p(3,1);p(4,1);
whichway4SUL	whichway4SUL	SUL	suboptimal_unlucky	11	0.8461538462	0	0	15	p(3,5);p(2,5);p(1,5);p(1,4);p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);p(4,3);p(3,3);p(2,3);p(1,3);p(0,3);p(0,2);
easyrw49SUL	easyrw49SUL	SUL	suboptimal_unlucky	10	0.7692307692	0	0	16	p(5,0);p(4,0);p(3,0);p(2,0);p(2,1);p(2,2);p(2,1);p(2,0);p(3,0);p(4,0);p(5,0);p(6,0);p(7,0);p(7,1);p(8,1);p(9,1);
librarySUL	librarySUL	SUL	suboptimal_unlucky	10	0.6666666667	1	0.25	17	p(2,1);p(2,2);p(2,3);p(2,4);p(2,5);p(2,6);p(3,6);p(4,6);p(3,6);p(2,6);p(2,5);p(2,4);p(2,3);p(2,2);p(2,1);p(1,1);p(1,0);
gardenSUL	gardenSUL	SUL	suboptimal_unlucky	10	0.625	1	0.25	18	p(2,0);p(2,1);p(2,2);p(2,3);p(2,4);p(2,5);p(2,6);p(2,7);p(2,8);p(2,7);p(2,6);p(2,5);p(2,4);p(2,3);p(2,2);p(3,2);p(4,2);p(4,1);
extremeSUL23	extremeSUL23	SUL	suboptimal_unlucky	18	0.8571428571	1	0.5	23	p(1,4);p(1,5);p(2,5);p(3,5);p(4,5);p(5,5);p(5,6);p(5,7);p(4,7);p(4,8);p(4,7);p(5,7);p(5,6);p(5,5);p(4,5);p(3,5);p(2,5);p(1,5);p(1,4);p(1,3);p(1,2);p(2,2);p(2,1);
